NL Statement,Logic Expression
"If the GPS detects a malfunction in the map data during navigation, it shall provide an alternative route if available.",(Map Data Malfunction During Navigation) --> (Provide Alternative Route if Available)
The GPS will not calculate the estimated time of arrival (ETA) unless the destination is set and the route is actively being followed.,(Destination Set and Route Being Followed) --> (Calculate ETA)
"If the GPS altitude reading is abnormal and the altitude is critical for navigation, an altitude correction shall be applied.",(Altitude Abnormal and Altitude Critical For Navigation) --> (Apply Altitude Correction)
The GPS will not announce nearby points of interest unless the points-of-interest feature is enabled and the vehicle is in proximity to the points of interest.,(Points Of Interest Feature Enabled and Vehicle In Proximity To POI) --> (Announce Nearby POIs)
"If there is no designated autopilot and the airplane is in flight, the standby autopilot shall take control within 2 time units.","Triggered_Time_Action((not(Designated Autopilot)) and Airplane In Flight), (Standby Autopilot Takes Control), 2 time units)"
The landing gear will be retracted iff both the takeoff mode is engaged and the airplane reaches a certain altitude.,(Takeoff Mode Engaged and Altitude Reached) --> (Retract Landing Gear)
"If a critical failure is detected in the navigation system during the climb phase, the climb shall be aborted only if the current altitude is below the minimum safe altitude.",(Navigation System Critical Failure and Climb Phase) --> (Climb Aborted --> Altitude < Minimum Safe Altitude)
The airplane's engine thrust will be adjusted continuously unless the auto-thrust system is disengaged or a manual override is initiated.,(Auto Thrust System Engaged and (not(ManualOverride Initiated))) --> (Adjust Engine Thrust Continuously)
"If the airplane experiences a sudden loss of cabin pressure and is at cruising altitude, the oxygen masks shall be deployed immediately.",(Sudden Loss Of Cabin Pressure and Cruising Altitude) --> (Deploy Oxygen Masks Immediately)
The airplane's anti-icing system will be activated only if both the exterior temperature is below freezing and the airplane is in flight.,(Exterior Temperature Below Freezing and Airplane In Flight) --> (Activate Anti Icing System)
"If the airplane's fuel level drops critically low during the descent phase, an emergency landing procedure shall be initiated.",(Fuel Level Critically Low and Descent Phase) --> (Initiate Emergency Landing Procedure)
The airplane's autopilot will not engage in the approach phase unless both the approach mode is selected and the airplane is aligned with the runway.,(Approach Mode Selected and Airplane Aligned With Runway) --> (Engage Autopilot Approach)
"If the airplane's avionics system encounters a failure during the descent, the descent shall be continued only if the failure does not affect critical navigation instruments.",(Avionics System Failure During Descent and (not(Affects Critical Navigation Instruments)) --> (Continue Descent)
The airplane will enter holding pattern mode iff the holding pattern is requested by air traffic control and the airplane is in the designated airspace.,(Holding Pattern Requested By ATC and Airplane In Designated Airspace) --> (Enter Holding Pattern Mode)
"If the airplane's airspeed drops below the minimum required during the climb and the engine is operational, a warning will be issued.",(Airspeed Below Minimum During Climb and Engine Operational) --> (Issue Warning)
The airplane's landing flaps shall be deployed only if the landing mode is engaged and the airplane is on final approach to the runway.,(Landing Mode Engaged and Airplane On final Approach) --> (Deploy Landing Flaps)
"If the airplane's weather radar detects severe turbulence and the airplane is at cruising altitude, the seatbelt sign shall be turned on.",(Severe Turbulence Detected and Cruising Altitude) --> (Turn On Seatbelt Sign)
The airplane will initiate an emergency descent iff both the emergency descent mode is engaged and a critical situation is detected.,(Emergency Descent Mode Engaged and Critical Situation Detected) --> (Initiate Emergency Descent)
"If the airplane's landing gear fails to extend during the landing phase, an emergency landing shall be executed immediately.",(Landing Gear Failure To Extend and Landing Phase) --> (Execute Emergency Landing)
The airplane's auto-pilot will engage in cruise mode only if the cruise mode is selected and the airplane is at the designated cruising altitude.,(Cruise Mode Selected and Airplane at Designated Cruising Altitude) --> (Engage Autopilot Cruise)
"If the airplane's communication system experiences a failure during the approach phase, the communication shall be rerouted through an alternate system.",(Communication System Failure During Approach) --> (Reroute Communication Through Alternate System)
The airplane will not initiate a go-around unless both the go-around mode is engaged and the airplane is on final approach to the runway.,(Go Around Mode Engaged and Airplane On Final Approach) --> (Initiate Go Around)
The airplane's navigation lights will be turned on iff the airplane is in flight during the nighttime and the lights are not already illuminated.,(Airplane In Flight and Nighttime and (not(Lights Already Illuminated)) --> (Turn On Navigation Lights)
"If there is no designated rocket stage controller and the rocket is in flight, the standby stage controller shall take control within 2 time units.","Trigger_Time_Action((not(DesignatedStageController and Rocket In Flight)) , (Standby Stage Controller Takes Control), 2 time units)"
The rocket's payload fairing will be jettisoned iff both the fairing jettison mode is engaged and the rocket reaches a specific altitude.,(Fairing Jettison Mode Engaged and Altitude Reached) --> (Jettison Payload Fairing)
"If a critical failure is detected in the guidance system during the ascent phase, the ascent shall be aborted only if the current altitude is below the minimum safe altitude.",(Guidance System Critical Failure and Ascent Phase) --> (Ascent Aborted --> Altitude < Minimum Safe Altitude)
The rocket's propulsion system will be ignited continuously unless the engine cutoff is commanded or a manual cutoff is initiated.,(Engine Ignition Commanded and (not(Manual Cutoff Initiated)) --> (Ignite Propulsion System Continuously)
"If the rocket experiences a sudden loss of telemetry and is in space, an emergency signal shall be transmitted immediately.",(Sudden Loss Of Telemetry and In Space) --> (Transmit Emergency Signal Immediately) 
The rocket's thermal protection system will be activated only if both the external temperature is below freezing and the rocket is in the upper atmosphere.,(External Temperature Below Freezing and Rocket In Upper Atmosphere) --> (Activate Thermal Protection System)
"If the rocket's fuel level drops critically low during the descent phase, an emergency landing procedure shall be initiated.",(Fuel level Critically Low and Descent Phase) --> (Initiate Emergency Landing Procedure)
The rocket's guidance system will not engage in the re-entry phase unless both the re-entry mode is selected and the rocket is aligned with the desired trajectory.,(ReEntry Mode Selected and Rocket Aligned With Desired Trajectory) --> (Engage Guidance System ReEntry)
"If the rocket's avionics system encounters a failure during the descent, the descent shall be continued only if the failure does not affect critical navigation instruments.",(Avionics System Failure During Descent and (not(Affects Critical Navigation Instruments)) --> (Continue Descent)
The rocket will deploy solar panels only if the solar deployment mode is engaged and the rocket is in sunlight.,(Solar Deployment Mode Engaged and In Sunlight) --> (Deploy Solar Panels)
"If the rocket's altitude drops below the minimum required during the ascent and the engine is operational, a warning will be issued.",(Altitude Below Minimum During Ascent and Engine Operational) --> (Issue Warning)
The rocket's landing legs shall be deployed only if the landing mode is engaged and the rocket is approaching the landing site.,(Landing Mode Engaged and Rocket Approaching Landing Site) --> (Deploy Landing Legs)
"If the rocket's telemetry system detects severe radiation and the rocket is in a high-radiation environment, the crew alert shall be activated.",(Severe Radiation Detected and In High Radiation Environment) --> (Activate Crew Alert)
The rocket will initiate a controlled descent iff both the controlled descent mode is engaged and a critical situation is detected.,(Controlled Descent Mode Engaged and Critical Situation Detected) -->  (Initiate Controlled Descent)
"If the rocket's landing thrusters fail to fire during the landing phase, an emergency landing shall be executed immediately.",(Landing Thrusters Failure To Fire and Landing Phase) --> (Execute Emergency Landing)
The rocket's guidance system will engage in cruise mode only if the cruise mode is selected and the rocket is at the designated cruising altitude.,(Cruise Mode Selected and Rocket At Designated Cruising Altitude) --> (Engage Guidance System Cruise)
"If the rocket's communication system experiences a failure during the ascent phase, the communication shall be rerouted through an alternate system.",(Communication System Failure During Ascent) --> (Reroute Communication Through Alternate System)
The rocket will not initiate an abort unless both the abort mode is engaged and the rocket is in a safe phase for aborting.,(Abort Mode Engaged and Rocket In Safe Phase For Abort) --> (Initiate Abort)
The rocket's navigation lights will be turned on iff the rocket is in flight during the nighttime and the lights are not already illuminated.,(Rocket In Flight and Nighttime and (not(LightsAlreadyIlluminated)) --> (Turn On Navigation Lights) 
"If there is no designated ship commander, the standby officer shall assume command within 2 time units.","Trigger_Time_Action((not(Designated Ship Commander)), (Standby Officer Assumes Command),  2 time units)"
The ship's radar system will be activated iff both the radar mode is engaged and the ship is in an operational state.,(Radar Mode Engaged and Ship Operational) --> (Activate Radar System)
"If a critical failure is detected in the navigation system during the voyage, the voyage shall be aborted only if the current position is too close to hazardous waters.",(Navigation System Critical Failure and In Voyage) --> (Abort Voyage --> Current Position Too Close To Hazardous Waters)
The ship's propulsion system will operate continuously unless the engine shutdown is commanded or a manual shutdown is initiated.,(Engine Shutdown Commanded and (not(Manual Shutdown Initiated)) --> (Operate Propulsion System Continuously)
"If the ship loses contact with the fleet and is in enemy territory, an emergency distress signal shall be transmitted immediately.",(Lost Contact With Fleet and In Enemy Territory) --> (Transmit Emergency Distress Signal Immediately)
The ship's sonar system will be engaged only if both the sonar mode is selected and the ship is in a designated sonar zone.,(Sonar Mode Selected and In Designated Sonar Zone) --> (Engage Sonar System)
"If a critical failure is detected in the power system during a mission, the mission shall continue only if the failure does not affect critical mission systems.",(Power System Critical Failure During Mission and (not(Affects Critical Mission Systems)) --> (Continue Mission) 
The ship's anti-aircraft defense system will be activated only if there is an incoming threat and the defense mode is engaged.,(Incoming Threat and Defense Mode Engaged) --> (Activate Anti Aircraft Defense System)
"If the ship's communication system experiences a failure during a naval exercise, the communication shall be rerouted through an alternate system.",(Communication System Failure During Naval Exercise) --> (Reroute Communication Through Alternate System)
The ship will initiate evasive maneuvers iff both the evasive mode is engaged and an incoming threat is detected.,(Evasive Mode Engaged and Incoming Threat Detected) --> (Initiate Evasive Maneuvers)
"If the ship's fuel level drops critically low during a mission, an emergency refueling procedure shall be initiated.",(Fuel Level Critically Low During Mission) --> (Initiate Emergency Refueling Procedure)
The ship's navigation lights will be turned on iff the ship is underway during the nighttime and the lights are not already illuminated.,(Ship Underway and Nighttime and (not(Lights Already illuminated)) --> (Turn On Navigation Lights)
"If the ship's onboard medical system detects a contagious illness outbreak, quarantine procedures shall be implemented immediately.",(Contagious Illness Outbreak Detected) --> (Implement Quarantine Procedures)
The ship's anti-submarine warfare system will be engaged only if there is a potential submarine threat and the system is armed.,(Potential Submarine Threat and System Armed) --> (Engage AntiSubmarine Warfare System)
"If the ship's propulsion system fails during docking, emergency thrusters shall be activated to prevent a collision.",(Propulsion System Failure During Docking) --> (Activate Emergency Thrusters)
The ship's anchor will be deployed only if both the anchor mode is engaged and the ship is at the designated anchoring location.,(Anchor Mode Engaged and At Designated Anchoring Location) --> (Deploy Anchor)
"If the ship's fire detection system detects a fire in the engine room, the firefighting system shall be activated immediately.",(Fire Detected In Engine Room) --> (Activate Fire fighting System)
The ship will not initiate a weapon launch unless both the weapons mode is engaged and the ship is in a designated weapons zone.,(Weapons Mode Engaged and In Designated Weapons Zone) --> (Initiate Weapon Launch)
"If the ship's crew alert system is activated during a storm, crew members shall report to their assigned storm stations immediately.",(Crew Alert System Activated During Storm) --> (Report To Assigned Storm Stations)
The ship's navigation charts will be updated every 24 hours to ensure accurate route planning during the mission.,(Update Navigation Charts every 24 time units) --> (Ensure Accurate Route Planning)
The safe locker will be locked if and only if both the user-entered code is correct and the locker is currently unlocked.,(User Entered Code Correct and Locker Unlocked) --> (Locker Locked)
"If the emergency alarm is triggered and the safe locker is in use, an immediate notification shall be sent to the designated security personnel.",(Emergency Alarm Triggered and Safe Locker In Use) --> (Send Notification To Security Personnel)
The safe locker's biometric access system will be activated only if both the user requests biometric access and the system is currently inactive.,(User  requests Biometric Access and Biometric System Inactive) --> (Activate Biometric Access System)
The safe locker will remain inaccessible for a specified duration after three consecutive incorrect PIN attempts.,(Three Consecutive Incorrect PIN Attempts) --> (Locker Inaccessible for specified duration)
"If the safe locker detects any tampering with its electronic components, an anti-tampering protocol shall be initiated immediately.",(Tampering Detected) --> (Initiate AntiTampering Protocol)
"If the safe locker is not accessed for a predefined time period, an automatic logout feature shall be triggered to enhance security.",(Not Accessed For Predefined Time Period) --> (Automatic Logout Activated)
"The safe locker's biometric access system will be disabled during maintenance, ensuring the safety of maintenance personnel.",(During Maintenance) --> (Disable Biometric Access System)
"If the user forgets the PIN and requests a reset, the safe locker shall reset the PIN only after successful authentication through a secondary method.",(User Forget PIN and Requests Reset) --> (Reset PIN after successful secondary authentication)
The safe locker will activate a silent alarm only if both a duress code is entered and the user is being coerced.,(Duress Code Entered and User Being Coerced) --> (Activate Silent Alarm)
"If the safe locker is moved from its designated location, an unauthorized movement alert shall be triggered.",(Moved From Designated Location) --> (Trigger Unauthorized Movement Alert)
The safe locker's door will remain locked as long as both the internal pressure sensor indicates a breach and the user does not authenticate successfully.,(Internal Pressure Sensor Indicates Breach and (not(Successful Authentication) --> (Door Remains Locked) 
"If the safe locker detects a fire using its internal sensors, it shall activate a fire-resistant seal to protect the contents.",(Fire Detected Using Internal Sensors) --> (Activate Fire Resistant Seal) 
The safe locker's electronic components will be powered off during a power outage to preserve battery life for critical functions.,(Power Outage) --> (Power Off Electronic Components)
"If the safe locker detects an attempt to force open the door, the automatic lockdown mechanism shall engage.",(Force Open Door Attempt Detected) -->   ( Engage Automatic Lockdown )
The safe locker's user interface will display an error message iff there is a malfunction in the electronic locking mechanism.,(Malfunction In Electronic Locking Mechanism) --> (Display Error Message) 
"If the safe locker is in a low-power mode, it will automatically switch to normal operation when a user attempts to access it.",(In Low Power Mode) --> (Switch To Normal Operation when user attempts access)
The safe locker's proximity sensor will trigger an alert only if an unauthorized person is detected within a specified distance.,(Unauthorized Person Detected) --> (Trigger Proximity Sensor Alert)
"If the safe locker's connectivity is lost, an offline mode will be activated to ensure continued access for authorized users.",(Connectivity Lost) --> (Activate Offline Mode)
The safe locker will initiate a self-destruct sequence only if both a designated emergency code is entered and there is evidence of a security breach.,(Designated Emergency Code Entered and Security Breach Evidence) --> (Initiate Self Destruct Sequence)
The intruder alert system will be activated if both the motion sensor detects movement and the security alarm is armed.,(Motion Sensor Detects Movement and Security Alarm Armed) --> (Activate Intruder Alert System)
"If the door/window sensor detects an open state and the security cameras are not already recording, they shall start recording immediately.",(Door Window Sensor Open State and (not(Security Cameras Recording)) --> (Start Recording Security Cameras)
The security alarm will remain disarmed unless both the user manually activates the alarm and the system is not in a lockdown state.,(User Manually Activates Alarm and (not(Lockdown State)) --> (Security Alarm Disarmed)
"If the glass break sensor detects a breakage and the security alarm is armed, it shall trigger an immediate alert.",(Glass Break Sensor Detects Breakage and Security Alarm Armed) --> (Trigger Alert)
The intruder alert system's visual indicator will be activated if and only if the system is armed and an intruder is detected.,(System Armed and Intruder Detected) --> (Visual Indicator Activated)
"If the panic button is pressed or the intrusion alarm is activated, the security cameras shall start recording immediately.",(Panic Button Pressed or Intrusion Alarm Activated) --> (Start Recording Security Cameras)
The intruder alert system will be triggered only if there is a breach detected by the motion sensor and the user does not enter the correct disarm code within 1 minute.,(Breach Detected By Motion Sensor and (not(User Enters Correct Disarm Code within 1 minute) --> (Trigger Intruder Alert System)
"If the user enters the correct access code and the door/window sensor detects an open state, the intruder alert system shall be deactivated.",(User Enters Correct Access Code and Door Window Sensor Open State) --> (Deactivate Intruder Alert System)
The security alarm will sound only if both the door/window sensor detects an open state and the user does not enter the correct disarm code within 2 minutes.,(Door Window Sensor Open State and (not(UserEntersCorrectDisarmCode within 2 minutes))--> (Sound Security Alarm)
The intrusion alarm will be activated only if both the door/window sensor and the infrared sensor detect unauthorized access.,(Door Window Sensor Unauthorized Access and Infrared Sensor Unauthorized Access) --> (Activate Intrusion Alarm)
"If the intruder alert system detects an intruder and the user does not respond to the alert within 30 seconds, the emergency protocol shall be initiated.",(Intruder Detected By Alert System and (not(UserRespondsToAlert within 30 seconds)) --> (Initiate Emergency Protocol)
The security alarm will be disarmed if the user enters the correct disarm code or uses a valid RFID card.,(User Enters Correct Disarm Code or Valid RFID Card Used) --> (Security Alarm Disarmed)
"If both the motion sensor and the door/window sensor detect unusual activity, the intruder alert system shall be activated.",(Motion Sensor Unusual Activity and Door Window Sensor Unusual Activity) --> (Activate Intruder Alert System)
The intruder alert system's silent alarm will be triggered only if the system is armed and an intruder is detected.,(System Armed and Intruder Detected) --> (Trigger Silent Alarm)
"If the smoke detector senses smoke and the fire alarm is not already activated, it shall initiate the fire alarm.",(Smoke Detector Senses Smoke and (not(FireAlarm Activated)) --> (Initiate FireAlarm)
The intrusion alarm will remain active as long as either the motion sensor detects movement or the user manually activates the alarm.,(Motion Sensor Detects Movement or User Manually Activates Alarm) --> (Intrusion Alarm Active)
"If the user enters the correct disarm code and the glass break sensor detects no breakage, the intruder alert system shall be deactivated.",(User Enters Correct Disarm Code and (not(GlassBreak Sensor Detects Breakage)) --> (Deactivate Intruder Alert System)
The intruder alert system will remain armed only if the user manually arms the system or a scheduled arm event occurs.,(User Manually Arms System or Scheduled Arm Event) --> (Intruder Alert System Armed)
"If the infrared sensor detects an intruder and the security alarm is not already activated, it shall initiate the alarm.",(Infrared Sensor Detects Intruder and (not(Security Alarm Activated)) --> (Initiate Alarm)
The intruder alert system will be deactivated if the user enters the correct disarm code or uses a valid RFID card.,(User Enters Correct Disarm Code or Valid RFID Card Used) --> (Deactivate Intruder Alert System)
"If a breach in the hull is detected and the emergency sealing system fails to engage, the submarine shall initiate an emergency surfacing procedure.",(Breach In Hull Detected and (not(Emergency Sealing System Engaged) --> (Initiate Emergency Surfacing)
The submarine will maintain operational status as long as either the sonar system is functioning properly or the backup sonar system is operational.,(Sonar System Functioning Properly or Backup Sonar System Operational) --> (Maintain Operational Status)
"If the navigation system fails and the backup navigation system is also offline, the submarine shall activate the emergency navigation protocols.",(Navigation System Failure and (not(Backup Navigation System Online) --> (Activate Emergency Navigation Protocols)
"If there is a loss of communication with the command center and the backup communication system is not available, the submarine shall surface to establish communication.",(Loss Of Communication With Command Center and (not(Backup Communication System Available)) --> (Surface For Communication)
The torpedo launch system will be disabled if either the torpedo tube is obstructed or the targeting system malfunctions.,(Torpedo Tube Obstructed or Targeting System Malfunction) --> (Disable Torpedo Launch System)
The periscope will remain retracted if there is a breach in the optical system or the water pressure around the periscope is too high.,(Breach In Optical System or High Water Pressure Around Periscope) --> (Retract Periscope)
"If the sonar detects an incoming threat and the evasive maneuver system is operational, the submarine shall execute an evasive maneuver to avoid the threat.",(Sonar Detects Incoming Threat and Evasive Maneuver System Operational) --> (Execute Evasive Maneuver)
The emergency beacon will be activated if there is a loss of power to the communication systems and the battery backup is functional.,(Loss Of Power To Communication Systems and Battery Backup Functional) --> (Activate Emergency Beacon)
"If the pressure hull integrity is compromised and the automatic bulkhead sealing system is not engaged, the submarine shall initiate an emergency dive to a safer depth.",(Pressure Hull Integrity Compromised and (not(Automatic Bulkhead Sealing  System Engaged)) --> (Initiate Emergency Dive)
The submarine will initiate a silent running mode if both the sonar detects nearby vessels and the crew activates the silent running protocol.,(Sonar Detects Nearby Vessels and Crew Activates Silent Running Protocol) --> (Initiate Silent Running Mode)
"If the depth control system fails and the ballast tanks are not responding, the submarine shall surface to prevent an uncontrolled descent.",(Depth Control System Failure and (not(Ballast Tanks Responding)) --> (Surface For Controlled Descent)
The torpedo launch system will be armed only if both the torpedo tubes are clear and the targeting system provides a valid lock on the designated target.,(Torpedo Tubes Clear and Targeting System Provides Valid Lock) --> (Arm Torpedo Launch System)
"If a fire is detected in the galley and the fire suppression system fails to activate, the submarine shall isolate the affected area and shut down non-essential systems.",(Fire Detected In Galley and (not(Fire Suppression System Activated)) --> (Isolate Area And Shutdown Systems)
The submarine's communication systems will be disabled if there is a breach in the communication mast and the backup mast is not deployed.,(Breach In Communication Mast and (not(BackupMastDeployed)) --> (Disable Communication Systems)
"If a reactor coolant leak is detected and the emergency cooling system is not activated, the nuclear plant's safety protocol shall be initiated.",(Reactor Coolant Leak Detected and (not(EmergencyCoolingSystemActivated)) --> (Initiate Safety Protocol)
The nuclear plant's safety shutdown mechanism will be triggered if there is a simultaneous failure of both the control rod system and the backup control rod system.,(Control Rod System Failure and Backup Control Rod System Failure) --> (Trigger Safety Shutdown)
The emergency backup power will be activated only if both the main power grid fails and the auxiliary power system is operational.,(Main Power Grid Failure and Auxiliary Power System Operational) --> (Activate Emergency Backup Power)
The containment chamber will be sealed if there is a breach in the reactor vessel and the radiation levels are rising uncontrollably.,(Reactor Vessel Breach and Rising Radiation Levels) --> (Seal Containment Chamber)
"If there is a loss of communication with the control room and the backup communication system is not operational, the nuclear plant shall be automatically shut down.",(Loss Of Communication With Control Room and (not(Backup Communication System Operational))  --> (ShutDown Nuclear Plant)
"If a fire is detected in the reactor building and the fire suppression system fails to activate, the nuclear plant shall be shut down as a safety measure.",(Fire Detected In Reactor Building and (not(Fire Suppression System Activated)) --> (ShutDown Nuclear Plant)
The backup control room will be activated if there is a failure in the main control room and the backup system is operational.,(Main  Control Room Failure and Backup System Operational) --> (Activate Backup Control Room)
"If a breach in the reactor vessel is detected and the radiation containment system fails to engage, the nuclear plant shall be immediately shut down.",(Reactor Vessel Breach and (not(Radiation Containment System Engaged) --> (ShutDown Nuclear Plant)
The emergency evacuation system will be initiated only if there is a loss of coolant and the reactor core temperature is rising rapidly.,(Loss Of Coolant and Reactor Core Temperature Rising Rapidly) --> ( Initiate Evacuation System)
"If the radiation monitoring system indicates a sudden spike in radiation levels and the emergency response team is not deployed, the nuclear plant shall be shut down.",(Spike In Radiation Levels and (not(Emergency Response Team Deployed)) --> (ShutDown Nuclear Plant)
The power plant will continue normal operation as long as either the generator is functioning properly or the backup generator is operational.,(Generator Functioning Properly or Backup Generator Operational) --> (Continue Normal Operation) 
"If a coolant leak is detected in the reactor and the automatic containment system fails to seal the leak, the power plant shall perform a controlled shutdown.",(Coolant Leak Detected and (not(Automatic Containment System Engaged)) --> (Controlled Shutdown)
The power plant will switch to backup power if both the main power grid fails and the backup power source is available.,(Main PowerGrid Failure and Backup Power Source Available) --> (Switch To Backup Power) 
"If there is a sudden drop in fuel supply and the emergency fuel reserve is insufficient, the power plant shall activate the fuel emergency shutdown procedure.",(Sudden Drop In Fuel Supply and (not(Emergency Fuel Reserve Sufficient))--> (Activate Fuel Emergency Shutdown)
The emergency shutdown procedure will be initiated if there is a simultaneous failure in both the main control system and the backup control system.,(Main Control System Failure and Backup Control System Failure) --> (Initiate Emergency Shutdown)
"If the voltage regulator malfunctions and the backup regulator is also non-operational, the power plant shall disconnect from the grid to avoid voltage fluctuations.",(Voltage Regulator Malfunction and (not(Backup Regulator Operational) --> (Disconnect From Grid For Voltage Stability)
"If the gas turbine efficiency drops below an acceptable level and the maintenance schedule is not due, the power plant shall conduct a diagnostic check on the turbine.",(Gas Turbine Efficiency Below Acceptable Level and (not(Maintenance Schedule Due) --> (Conduct Diagnostic Check OnTurbine)
The power plant will switch to emergency lighting if there is a general power failure and the backup lighting system is operational.,(General Power Failure and Backup Lighting System Operational) --> ( Switch To Emergency Lighting)
"If there is a sudden surge in demand for electricity and the reserve power is insufficient, the power plant shall temporarily increase output to meet the demand.",(Sudden Surge In Demand For Electricity and Reserve Power Insufficient) --> (Temporarily Increase Output) 
The power plant will remain in operation if either the fuel supply is stable or the emergency fuel transfer system successfully compensates for fluctuations.,(Fuel Supply Stable or Emergency Fuel Transfer system Compensates) --> (Remain In Operation) 
"If there is a malfunction in the steam turbine control system and the backup control system is not engaged, the power plant shall initiate a controlled shutdown of the turbine.",(Steam Turbine Control System Malfunction and (not(Backup Control System Engaged))  --> (Controlled Shutdown Of Turbine)
The emergency lighting system will be activated if there is a power failure and the backup power system for lighting is online.,(Power Failure and Backup Power System For Lighting Online) --> (Activate Emergency Lighting System)
"If the power plant experiences a sudden drop in water supply and the emergency water reservoir is empty, the power plant shall initiate a shutdown to prevent damage.",(Sudden Drop In Water Supply and Emergency Water Reservoir Empty) --> (Initiate Shutdown For Preventing Damage)
The power plant will switch to backup sensors if both the primary sensors and the redundant sensors fail to provide accurate readings.,(Primary Sensors Failure and Redundant Sensors Failure) --> (Switch To Backup Sensors)
"If there is a disruption in the fuel delivery system and the backup fuel supply is not engaged, the power plant shall activate the emergency fuel delivery protocol.",(Fuel Delivery System Disruption and (not(Backup Fuel Supply Engaged)) --> (Activate Emergency Fuel Delivery Protocol)
The power plant will go into a maintenance mode if there is a scheduled maintenance window and the reserve power is sufficient to meet demand during maintenance.,(Scheduled Maintenance Window and Reserve Power Sufficient For Maintenance) --> (Maintenance Mode)
"If unauthorized access attempts are detected, and the intrusion detection system is operational, the cyber security system shall initiate a security lockdown.",(Unauthorized Access Attempts Detected and Intrusion Detection System Operational) --> ( Initiate Security Lockdown)
The system will continue normal operation as long as either the firewall is functioning properly or the backup firewall is operational.,(Firewall Functioning Properly or Backup Firewall Operational) --> (Continue Normal Operation)
"If a malware infection is identified and the automatic quarantine system fails to isolate the malware, the cyber security system shall perform a system shutdown.",(Malware Infection Identified and (not(Automatic Quarantine System Isolated)) --> (System Shutdown)
The system will switch to backup servers if both the main server cluster fails and the backup server cluster is available.,(Main Server Cluster Failure and Backup Server Cluster Available) -->( Switch To Backup Servers)
"If there is a sudden surge in network traffic, and the anomaly detection system is unable to identify the cause, the cyber security system shall activate traffic filtering mechanisms.",(Sudden Surge In Network Traffic and (not(Anomaly Detection System Identifies Cause)) --> (Activate Traffic Filtering)
The system will go into lockdown if both the encryption algorithm is compromised and the backup encryption system is also compromised.,(Encryption Algorithm Compromised and Backup Encryption System Compromised) --> (Lockdown System)
"If a vulnerability is detected in the operating system and the automatic patching system fails, the cyber security system shall quarantine the affected system.",(Operating System Vulnerability Detected and (not(Automatic Patching System Successful)) --> (Quarantine Affected System)
The system will initiate a password reset if the password breach is detected and the two-factor authentication system is not engaged.,(Password Breach Detected and (not(Two Factor Authentication Engaged)) --> (Initiate Password Reset)
"If there is a DDoS attack and the mitigation system is overwhelmed, the cyber security system shall redirect traffic to a secure backup server.",(DDoS Attack and (not(Mitigation System Overwhelmed)) --> (Redirect Traffic To Secure Backup Server)
The system will activate the backup intrusion detection system if the primary system fails and the secondary system is online.,(Primary Intrusion Detection System Failure and Secondary Intrusion Detection System Online) --> (Activate Backup Intrusion Detection System)
"If a social engineering attack is identified and the user awareness training is not up to date, the cyber security system shall prompt immediate training sessions.",(Social Engineering Attack Identified and (not(UserAwarenessTrainingUpToDate)) --> (Prompt Immediate Training Sessions)
The system will remain in operation if either the antivirus software is effective or the backup antivirus software successfully detects and eliminates threats.,(Antivirus Software Effective or Backup Antivirus Software Detects And Eliminates Threats) --> (Remain In Operation)
"If there is a data breach and the incident response team is not deployed within a specified time, the cyber security system shall activate automated incident response procedures.",(DataBreach and (not(Incident Response Team Deployed Within Specified Time)) --> (Activate Automated Incident Response Procedures)
The system will switch to offline mode if both the primary authentication server fails and the secondary authentication server is unreachable.,(Primary Authentication Server Failure and Secondary Authentication Server Unreachable) --> (Switch To Offline Mode)
"If a phishing attempt is detected and the email filtering system fails to quarantine the phishing emails, the cyber security system shall block external email access.",(Phishing Attempt Detected and (not(Email Filtering System Quarantines Phishing Emails)) --> (Block External Email Access)
The system will initiate a forensic analysis if there is a suspected data breach and the real-time monitoring system does not provide immediate insights into the incident.,(Suspected Data Breach and (not(Real Time Monitoring System Provides Immediate Insights) --> (Initiate Forensic Analysis)
"If there is a compromise in the secure communication channels, and the backup communication encryption system is also compromised, the cyber security system shall halt communication activities.",(Secure Communication Channels Compromised and Backup Communication Encryption System Compromised) --> (Halt Communication Activities)
The system will activate the backup security protocols if the primary security protocols fail and the redundant system is operational.,(Primary Security Protocols Failure and Redundant System Operational) --> (Activate Backup Security Protocols)
"If there is an unauthorized system access and the user access logs are not regularly reviewed, the cyber security system shall prompt an immediate audit of user access.",(Unauthorized System Access and (not(UserAccess Logs Regularly Reviewed)) --> (Prompt Immediate Audit Of User Access)
The system will remain online if either the network firewall is operational or the backup firewall system successfully prevents unauthorized network access.,(Network Firewall Operational or Backup Firewall Prevents Unauthorized Access) --> (Remain Online) 
"If both the pilot initiates the ejection sequence and the altitude is below the minimum ejection altitude, then the plane ejection system shall activate.",(Pilot Initiates Ejection Sequence and Altitude Below Minimum Ejection Altitude) --> ( Activate Ejection System)
The ejection sequence will be halted if either the seat ejection mechanism fails or the parachute deployment system malfunctions.,(Seat Ejection Mechanism Failure or Parachute Deployment System Malfunction) --> (Halt Ejection Sequence)
The ejection system will not be activated if there is a failure in both the canopy jettison mechanism and the ejection seat propulsion system.,(Canopy Jettison Mechanism Failure and Ejection Seat Propulsion System Failure) -->(not(Activate Ejection System))
